hotel_class,name,id,locality,region
2.8850684495383634,Corporate Lodging - Austin,109005,Austin,TX
2.8850684495383634,Classic Inn Motel,288747,Austin,TX
2.8850684495383634,Cassie's Cottage,1206940,Austin,TX
2.8850684495383634,Oakwood At River Oaks,268523,Austin,TX
2.8850684495383634,Oakwood At Cross Park,223693,Austin,TX
2.8850684495383634,Oakwood At Austin,223692,Austin,TX
2.8850684495383634,Oakwood,620237,Austin,TX
2.8850684495383634,National at Marquis Tree Tops,1147682,Austin,TX
2.8850684495383634,Blue Bonnet Courts,288745,Austin,TX
2.8850684495383634,BEST WESTERN Colonial Inn,98409,Austin,TX
2.8850684495383634,Lone Star Court,3505865,Austin,TX
2.8850684495383634,Budget Inn Capitol,291283,Austin,TX
2.8850684495383634,InTown Suites Austin,284421,Austin,TX
2.5,Extended Stay America - Austin - North Central,217731,Austin,TX
2.5,Howard Johnson Austin North,1635868,Austin,TX
1.5,Days Inn Austin South,109013,Austin,TX
2.8850684495383634,Heart of Texas Motel,291287,Austin,TX
2.8850684495383634,Studio 6 Austin Midtown,239890,Austin,TX
2.8850684495383634,Studio 6 Austin Northwest,239891,Austin,TX
2.8850684495383634,Econo Lodge,108998,Austin,TX
2.0,Extended Stay America - Austin - Northwest - Lakeline Mall,247102,Austin,TX
2.8850684495383634,Bel-Air Motel,288743,Austin,TX
1.5,Rodeway Inn University / Downtown,98467,Austin,TX
2.8850684495383634,Western Hills Motel,291291,Austin,TX
2.0,Econo Lodge Austin,142018,Austin,TX
2.8850684495383634,Motel 6 Austin Central - South/Univ of Texas,243756,Austin,TX
2.8850684495383634,American Inn,98405,Austin,TX
2.0,Travelodge Austin,675150,Austin,TX
2.0,Red Roof Inn Austin North,98415,Austin,TX
2.5,La Quinta Inn Austin Highland Mall,98439,Austin,TX
2.5,Comfort Suites Austin Airport,223678,Austin,TX
2.0,Quality Inn North Austin,220106,Austin,TX
2.0,Candlewood Suites - Austin Arboretum-Northwest,109010,Austin,TX
2.0,Comfort Inn,109007,Austin,TX
2.8850684495383634,The Quarters at Hardin House,273366,Austin,TX
2.0,Americas Best Value Inn,108988,Austin,TX
2.5,Holiday Inn Express Austin North Central,108984,Austin,TX
2.0,"Howard Johnson Austin, TX",98424,Austin,TX
2.5,Holiday Inn Express Austin Airport,225440,Austin,TX
2.8850684495383634,Austin Motor Inn,288742,Austin,TX
2.8850684495383634,Austin Suites Hotel,98447,Austin,TX
2.0,Days Inn Austin University / Downtown,98416,Austin,TX
2.0,Red Roof Inn Austin - South,217732,Austin,TX
3.0,Courtyard Austin South,109002,Austin,TX
2.0,Extended Stay America - Austin - Arboretum - South,217736,Austin,TX
2.0,Days Inn Austin Crossroads,98413,Austin,TX
3.0,Hotel Allandale,108963,Austin,TX
2.5,Fairfield Inn and Suites Austin - University Area,108995,Austin,TX
2.8850684495383634,Austin Village Motor Inn,288732,Austin,TX
2.0,La Quinta Inn Austin South / IH35,98438,Austin,TX
2.5,Holiday Inn Express Hotel & Suites Austin North,108987,Austin,TX
3.0,Hyatt Place Austin North Central,223675,Austin,TX
2.0,Candlewood Suites - Austin South,109009,Austin,TX
2.5,TownePlace Suites Austin Northwest,223713,Austin,TX
2.5,Extended Stay America - Austin - Arboretum - North,223714,Austin,TX
2.5,Holiday Inn Express & Suites Austin - Sunset Valley,98435,Austin,TX
2.5,Ramada Austin Central,108999,Austin,TX
2.0,Extended Stay America - Austin - Downtown - 6th St.,223679,Austin,TX
2.5,Super 8 Austin/University/Downtown,142017,Austin,TX
3.5,DoubleTree by Hilton Austin - University Area,108983,Austin,TX
3.0,Orangewood Suites,98428,Austin,TX
